Baltimore Ravens: Mark Andrews, Anthony Averett, Rashod Bateman, Chris Board, Tyus Bowser, Miles Boykin, Nick Boyle, Bradley Bzeman, Marquise Brown, Josh Bynes, Calais Campbell
Buffalo Bills: Mario Addison, Josh Allen, Boogie Bashman, Tyler Bass, Ryan Bates, Cole Beasley, Ike Boettger, Matt Breida, Spencer Brown, Vernon Butler, Gabriel Davis
Cincinatti Bengals: Hakeem Adeniji, Bardon Allen, Ricardo Allen, Eli Apple, Chidobe Awuzie, Joe Bachie, Markus Bailey, Jessie Bates III, Vonn Bell, Tyler Boyd, Joe Burrow
Cleveland Browns: Joel Bitonio, Ja'Marcus Bradley, Harrison Bryant, Nick Chubb, Jadeveon Clowney, Sheldon Day, Grant Delpit, Michael Dunn, Jordan Elliott, Demetric Felton, Tony Field II
Denver Broncos: McTelvin Agim, Essang Bassey, Andrew Beck, Jacob Bobenmoyer, Garett Bolles, Mike Boone, Teddy Bridgewater, Baron Browning, Bradley Chubb, Jonathon Cooper, Damarea Crockett
Houston Texans: Jordan Akins, Antony Auclair, Ross Blacklock, Justin Britt, Terrence Brooks, Pharaoh Brown, Rex Burkhead, Geron Christian Sr., Maliek Collins, Nico Collins, Chris Conley
Indianapolis Colts: Matthew Adams, Jahleel Addae, Mo Alie-Cox, Michael Badgley, Ben Banogu, DeForest Buckner, T. J. Carrie, Julién Davenport, Jack Doyle, Ashton Dulin, Sam Ehlinger
Jacksonville Jaguars: Dakota Allen, Josh Allen, Dan Arnold, Tavon Austin, Ben Bartch, C. J. Beathard, Malcorn Brown, Taven Bryan, Tyson Campbell, K'Lavon Chaisson, Andre Cisco
Kansas City Chiefs: Nick Allegretti, DeAndre Baker, Blake Bell, Austin Blythe, Nick Bolton, Orlando Brown, Shane Buechele, Michael Burton, Harrison Butker, Frank Clark, Mike Danna
Las Vegas Raiders: Johnathan Abram, Peyton Barber, Jackson Barton, Daniel Carlson, Derek Carr, AJ Cole, Maxx Crosby, Divine Deablo, Kenyan Drake, Bryan Edwards, Jamaine Eluemunor
Los Angeles Chargers: Nasir Adderley, Stephen Anderson, Joey Bosa, Tevaughn Campbell, Jared Cook, Christian Covington, Chase Daniel, Michael Davis, Austin Ekeler, Kyler Fackrell, Breiden Fehoko
Miami Dolphins: Salvon Ahmed, Jerome Baker, Vince Biegel, Jacoby Brissett, Adam Butler, Cethan Carter, Justin Coleman, Jesse Davis, Raekwon Davis, Michael Deiter, Sam Eguavoen
New England Patriots: Nelson Agholor, David Andrews, Devin Asiasi, Jake Bailey, Christian Barmore, Ja'Whaun Bentley, Justin Bethel, Barndon Bolden, Kendrick Bourne, Trent Brown, Myles Bryant
New York Jets: Nick Bawden, Braxton Berrios, Michael Carter II, Keelan Cole, Tevin Coleman, Jamson Crowder, Ashtyn Davis, Jarrad Davis, Isaiah Dunn, Laurent Duvernay-Tardif, George Fant
Pittsburgh Steelers: Montravius Adams, Marcus Allen, Kalen Ballage, Zach Banner, Chris Boswell, Isaiah Buggs, Devin Bush, Taco Charlton, Chase Claypool, Carlos Davis, Terrell Edmunds
Tennessee Titans: Ola Adniyi, Denico Autry, Khari Blasingame, Brady Breeze, Aaron Brewer, Jayon Brown, Randy Bullock, Tory Carter, Dylan Cole, Morgan Cox, Nate Davis
