Arizona Cardinals: Robert Alford, Zach Allen, Budda Baker, Chris Banjo, Kelvin Beachum, Eno Benjamin, Beau Brinkely, Zaven Collins, James Conner, Darrell Daniels, Victor Dimukeje
Atlanta Falcons: Josh Andrews, Christian Blake, Jonathan Bullard, John Comisky, Brandon Copeland, Drew Dalman, Frank Darby, Marlon Davidson, Mike Davis, Tyeler Davison, Emmanuel Ellerbee
Carolina Panthers: Ameer Adbullah, Robby Anderson, Matt Barkely, A.J. Bouye, Deonte Brown, Derrick Brown, Brian Burns, Juston Burris, Jermaine Carter Jr., Sean Chandler, Jeremy Chinn
Dallas Cowboys: Bryan Anger, Dorance Armstrong, Tarell Basham, Francis Bernard, Tyler Biadasz, Quinton Bohanna, Anthony Brown, Noah Brown, Corey Clement, La'el Collins, Amari Cooper
Chicago Bears: Alex Bars, Angelo Blackson, Larry Borom, Artie Burns, Deon Bush, Damiere Byrd, Marqui Christian, Xavier Crawford, Andy Dalton, James Daniels, Mario Edwards Jr. 
Detroit Lions: Alex Anzalone, Derrick Barnes, Trinity Benson, Rashod Berry, David Blough, Tim Boyle, Michael Brockers, Evan Brown, Austin Bryant, Jason Cabinda, Scott Daly
Green Bay Packers: Davante Adams, Adrian Amos, David Bakhtiari, Krys Barnes, Kurt Benkert, Henry Black, Corey Bojorquez, Ben Barden, Oren Burks, Kenny Clark, Randall Cobb
New York Giants: Saquon Barkely, Devontae Booker, James Brandberry, Ben Bredeson, Grary Brightwell, Cam Brown, Lorenzo Carter, Keion Crossen, Tae Crowder, Korey Cunningham, Riley Dixon
Los Angeles Rams: Brian Allen, Tremayne Anchrum Jr., Odell Beckham Jr., Kendall Blanton, Antoine Brroks Jr., Bobby Brown III, Terrell Burgess, Marquise Copeland, Austin Corbett, Dont'e Deayon, Aaron Donald
Minnesota Vikings: Mackensie Alexander, Anthony Barr, Jordan Berry, Tashawn Bower, Kris Boyd, Garrett Bradbury, Blake Brandel, Bashaud Breeland, Carnryn Bynum, Dan Chisena, Ezra Cleveland
New Orleans Saints: Paulson Adebo, Kwon Alexander, Terron Armstead, Zack Baun, Caleb Benenoch, Ian Book, Josiah Bronson, Marquez Callaway, Will Clapp, Ken Crawley, Marcus Davenport
Philadelphia Eagles: J. J. Arcega-Whiteside, Genard Avery, Derek Barnett, Shaun Bradley, Andre Chachere, Fletcher Cox, Landon Dickerson, Andre Dillard, T. J. Edwards, Jake Elliott, Marcus Epps
San Francisco 49ers: Tyrell Adams, Brandon Aiyuk, Azeez Al-Shaair, Arik Armstead, Aaron Banks, Travis Benjamin, Nick Bosa, Jake Brendel, Daniel Brunskill, Trenton Cannon, Tom Compton
Seattle Seahawks: Jamal Adams, Ugo Amadi, Blessuan Austin, Cody Barton, Nick Bellore, Jordyn Brooks, Duane Brown, L.J. Collier, Alex Collins, Jake Curhan, DeeJay Dallas
Tampa Bay Buccaneers: Andrew Adams, Shaquil Barrett, Giovani Bernard, Tom Brady, Cameron Brate, K. J. Britt, Alex Cappa, Ross Cockrell, Jaelon Darden, Lavonte David, Carlton Davis III
Washington Football Team: Jonathan Allen, Kyle Allen, Troy Apke, John Bates, Dyami Brown, DeAndre Carter, Saahdiq Charles, Camaron Cheeseman, Landon Collins, Kamren Curl, Jamin Davis
